Scandium City Heliport,CA,(Old) Scandium City,ZYW
Yukonia Airstrip,CA,(Old) Yukonia,ZKT
South Cariboo Region / 108 Mile Airport,CA,108 Mile,ZMH
Aachen-Merzbrück Airport,DE,Aachen,AAH
Aalborg Airport,DK,Aalborg,AAL
Aarhus Airport,DK,Aarhus,AAR
Aasiaat Airport,GL,Aasiaat,JEG
Hongyuan Airport,CN,Aba,AHJ
Abadan Airport,IR,Abadan,ABD
Abaiang Airport,KI,Abaiang,ABF
Abakan International Airport,RU,Abakan,ABA
Canton Island Airport,KI,Abariringa,CIS
Abau Airport,PG,Abau,ABW
Abbotsford International Airport,CA,Abbotsford,YXX
Abeche Airport,TD,Abeche,AEH
Abemama Airport,KI,Abemama,AEA
Abengourou Airport,CI,Abengourou,OGO
Aberdeen Dyce Airport,GB,Aberdeen,ABZ
Aberdeen Regional Airport,US,Aberdeen,ABR
Phillips Army Air Field,US,Aberdeen Proving Grounds(Aberdeen),APG
Abha International Airport,SA,Abha,AHB
Félix-Houphouët-Boigny International Airport,CI,Abidjan,ABJ
Dyess Air Force Base,US,Abilene,DYS
Abilene Regional Airport,US,Abilene,ABI
Virginia Highlands Airport,US,Abingdon,VJI
Mota Lava Airport,VU,Ablow,MTV
Aboisso Airport,CI,Aboisso,ABO
Abou-Deïa Airport,TD,Abou-Deïa,AOD
Mayaguana Airport,BS,Abrahams Bay,MYG
Abs Airport,YE,Abs,EAB
Al Bateen Executive Airport,AE,Abu Dhabi,AZI
Yas Island Seaplane Base,AE,Abu Dhabi,AYM
Abu Dhabi International Airport,AE,Abu Dhabi,AUH
Abu Musa Island Airport,IR,Abu Musa,AEU
Abu Rudeis Airport,EG,Abu Rudeis,AUE
Abu Simbel Airport,EG,Abu Simbel,ABS
Nnamdi Azikiwe International Airport,NG,Abuja,ABV
Alcides Fernández Airport,CO,Acandí,ACD
General Juan N Alvarez International Airport,MX,Acapulco,ACA
Acaricuara Airport,CO,Acaricuara,ARF
Oswaldo Guevara Mujica Airport,VE,Acarigua,AGV
Kotoka International Airport,GH,Accra,ACC
Achinsk Airport,RU,Achinsk,ACS
Achutupu Airport,PA,Achutupo,ACU
Damazin Airport,SD,Ad Damazin,RSS
King Fahd International Airport,SA,Ad Dammam,DMM
